sample_idx,real,closest,TP,FP,precision,recall
60024,2,2,0,1,0.0,0.0
60342,2,2,0,2,0.0,0.0
59542,2,2,0,3,0.0,0.0
60275,2,2,0,4,0.0,0.0
59464,2,2,0,5,0.0,0.0
60177,2,2,0,6,0.0,0.0
60235,2,2,0,7,0.0,0.0
60536,2,2,0,8,0.0,0.0
6810,0,2,0,9,0.0,0.0
60595,2,2,0,10,0.0,0.0
10874,0,2,0,11,0.0,0.0
2989,0,2,0,12,0.0,0.0
9328,0,2,0,13,0.0,0.0
4074,0,2,0,14,0.0,0.0
5879,0,2,0,15,0.0,0.0
9571,0,2,0,16,0.0,0.0
12621,0,2,0,17,0.0,0.0
3711,0,2,0,18,0.0,0.0
9752,0,2,0,19,0.0,0.0
11756,0,2,0,20,0.0,0.0
9482,0,2,0,21,0.0,0.0
11594,0,2,0,22,0.0,0.0
4525,0,2,0,23,0.0,0.0
1872,0,2,0,24,0.0,0.0
6617,0,2,0,25,0.0,0.0
2297,0,2,0,26,0.0,0.0
655,0,2,0,27,0.0,0.0
10377,0,2,0,28,0.0,0.0
1778,0,2,0,29,0.0,0.0
6242,0,2,0,30,0.0,0.0
4314,0,2,0,31,0.0,0.0
8893,0,2,0,32,0.0,0.0
10434,0,2,0,33,0.0,0.0
9809,0,2,0,34,0.0,0.0
12777,0,2,0,35,0.0,0.0
12334,0,2,0,36,0.0,0.0
7785,0,2,0,37,0.0,0.0
11121,0,2,0,38,0.0,0.0
33,0,2,0,39,0.0,0.0
12753,0,2,0,40,0.0,0.0
3757,0,2,0,41,0.0,0.0
10062,0,2,0,42,0.0,0.0
4276,0,2,0,43,0.0,0.0
9581,0,2,0,44,0.0,0.0
544,0,2,0,45,0.0,0.0
11399,0,2,0,46,0.0,0.0
2679,0,2,0,47,0.0,0.0
2368,0,2,0,48,0.0,0.0
7229,0,2,0,49,0.0,0.0
2173,0,2,0,50,0.0,0.0
10451,0,2,0,51,0.0,0.0
3159,0,2,0,52,0.0,0.0
144,0,2,0,53,0.0,0.0
59810,2,2,0,54,0.0,0.0
59914,2,2,0,55,0.0,0.0
59376,2,2,0,56,0.0,0.0
59771,2,2,0,57,0.0,0.0
59789,2,2,0,58,0.0,0.0
60710,2,2,0,59,0.0,0.0
60353,2,2,0,60,0.0,0.0
59479,2,2,0,61,0.0,0.0
59410,2,2,0,62,0.0,0.0
59769,2,2,0,63,0.0,0.0
59517,2,2,0,64,0.0,0.0
59717,2,2,0,65,0.0,0.0
60810,2,2,0,66,0.0,0.0
60792,2,2,0,67,0.0,0.0
241,0,2,0,68,0.0,0.0
8777,0,2,0,69,0.0,0.0
11202,0,2,0,70,0.0,0.0
1082,0,2,0,71,0.0,0.0
5924,0,2,0,72,0.0,0.0
9172,0,2,0,73,0.0,0.0
6871,0,2,0,74,0.0,0.0
4687,0,2,0,75,0.0,0.0
60510,2,2,0,76,0.0,0.0
59448,2,2,0,77,0.0,0.0
60875,2,2,0,78,0.0,0.0
60829,2,2,0,79,0.0,0.0
60733,2,2,0,80,0.0,0.0
60891,2,2,0,81,0.0,0.0
60214,2,2,0,82,0.0,0.0
59168,2,2,0,83,0.0,0.0
60643,2,2,0,84,0.0,0.0
60722,2,2,0,85,0.0,0.0
59429,2,2,0,86,0.0,0.0
5932,0,2,0,87,0.0,0.0
59385,2,2,0,88,0.0,0.0
59696,2,2,0,89,0.0,0.0
59335,2,2,0,90,0.0,0.0
59286,2,2,0,91,0.0,0.0
59559,2,2,0,92,0.0,0.0
60335,2,2,0,93,0.0,0.0
59261,2,2,0,94,0.0,0.0
7774,0,2,0,95,0.0,0.0
60892,2,2,0,96,0.0,0.0
6344,0,2,0,97,0.0,0.0
11648,0,2,0,98,0.0,0.0
1326,0,2,0,99,0.0,0.0
9203,0,2,0,100,0.0,0.0
3741,0,2,0,101,0.0,0.0
5082,0,2,0,102,0.0,0.0
8719,0,2,0,103,0.0,0.0
6486,0,2,0,104,0.0,0.0
448,0,2,0,105,0.0,0.0
2431,0,2,0,106,0.0,0.0
8521,0,2,0,107,0.0,0.0
5371,0,2,0,108,0.0,0.0
12089,0,2,0,109,0.0,0.0
1552,0,2,0,110,0.0,0.0
6587,0,2,0,111,0.0,0.0
3218,0,2,0,112,0.0,0.0
6207,0,2,0,113,0.0,0.0
2693,0,2,0,114,0.0,0.0
6342,0,2,0,115,0.0,0.0
1716,0,2,0,116,0.0,0.0
6720,0,2,0,117,0.0,0.0
10725,0,2,0,118,0.0,0.0
8679,0,2,0,119,0.0,0.0
60046,2,2,0,120,0.0,0.0
8398,0,2,0,121,0.0,0.0
59648,2,2,0,122,0.0,0.0
3721,0,2,0,123,0.0,0.0
3664,0,2,0,124,0.0,0.0
2148,0,2,0,125,0.0,0.0
59304,2,2,0,126,0.0,0.0
6270,0,2,0,127,0.0,0.0
5715,0,2,0,128,0.0,0.0
1722,0,2,0,129,0.0,0.0
3893,0,2,0,130,0.0,0.0
1682,0,2,0,131,0.0,0.0
12165,0,2,0,132,0.0,0.0
1576,0,2,0,133,0.0,0.0
5060,0,2,0,134,0.0,0.0
10776,0,2,0,135,0.0,0.0
5693,0,2,0,136,0.0,0.0
5847,0,2,0,137,0.0,0.0
11260,0,2,0,138,0.0,0.0
7273,0,2,0,139,0.0,0.0
1875,0,2,0,140,0.0,0.0
10977,0,2,0,141,0.0,0.0
12886,0,2,0,142,0.0,0.0
5834,0,2,0,143,0.0,0.0
4176,0,2,0,144,0.0,0.0
1629,0,2,0,145,0.0,0.0
1195,0,2,0,146,0.0,0.0
12290,0,2,0,147,0.0,0.0
10787,0,2,0,148,0.0,0.0
6001,0,2,0,149,0.0,0.0
3223,0,2,0,150,0.0,0.0
8428,0,2,0,151,0.0,0.0
6749,0,2,0,152,0.0,0.0
9171,0,2,0,153,0.0,0.0
6931,0,2,0,154,0.0,0.0
9650,0,2,0,155,0.0,0.0
3009,0,2,0,156,0.0,0.0
12911,0,2,0,157,0.0,0.0
3656,0,2,0,158,0.0,0.0
10344,0,2,0,159,0.0,0.0
2192,0,2,0,160,0.0,0.0
9180,0,2,0,161,0.0,0.0
3348,0,2,0,162,0.0,0.0
12363,0,2,0,163,0.0,0.0
7280,0,2,0,164,0.0,0.0
6953,0,2,0,165,0.0,0.0
7245,0,2,0,166,0.0,0.0
7765,0,2,0,167,0.0,0.0
2818,0,2,0,168,0.0,0.0
7264,0,2,0,169,0.0,0.0
11355,0,2,0,170,0.0,0.0
