sample_idx,real,closest,TP,FP,precision,recall
28782,3,2,1,0,1.0,0.00010824853864472829
27665,3,2,2,0,1.0,0.00021649707728945658
7054,0,1,2,1,0.6666666666666666,0.00021649707728945658
3397,0,1,2,2,0.5,0.00021649707728945658
6359,0,1,2,3,0.4,0.00021649707728945658
5180,0,1,2,4,0.3333333333333333,0.00021649707728945658
6290,0,1,2,5,0.2857142857142857,0.00021649707728945658
9760,0,1,2,6,0.25,0.00021649707728945658
26508,3,2,3,6,0.3333333333333333,0.0003247456159341849
11349,0,1,3,7,0.3,0.0003247456159341849
6757,0,1,3,8,0.2727272727272727,0.0003247456159341849
5781,0,1,3,9,0.25,0.0003247456159341849
4399,0,1,3,10,0.23076923076923078,0.0003247456159341849
12549,0,1,3,11,0.21428571428571427,0.0003247456159341849
154,0,1,3,12,0.2,0.0003247456159341849
3175,0,1,3,13,0.1875,0.0003247456159341849
9508,0,1,3,14,0.17647058823529413,0.0003247456159341849
6091,0,1,3,15,0.16666666666666666,0.0003247456159341849
6717,0,1,3,16,0.15789473684210525,0.0003247456159341849
8670,0,1,3,17,0.15,0.0003247456159341849
8331,0,1,3,18,0.14285714285714285,0.0003247456159341849
5399,0,2,3,19,0.13636363636363635,0.0003247456159341849
2453,0,2,3,20,0.13043478260869565,0.0003247456159341849
4310,0,2,3,21,0.125,0.0003247456159341849
11694,0,2,3,22,0.12,0.0003247456159341849
3674,0,2,3,23,0.11538461538461539,0.0003247456159341849
12924,0,2,3,24,0.1111111111111111,0.0003247456159341849
2567,0,2,3,25,0.10714285714285714,0.0003247456159341849
11290,0,2,3,26,0.10344827586206896,0.0003247456159341849
11454,0,2,3,27,0.1,0.0003247456159341849
11822,0,2,3,28,0.0967741935483871,0.0003247456159341849
2463,0,2,3,29,0.09375,0.0003247456159341849
5196,0,2,3,30,0.09090909090909091,0.0003247456159341849
11708,0,2,3,31,0.08823529411764706,0.0003247456159341849
12357,0,2,3,32,0.08571428571428572,0.0003247456159341849
2053,0,2,3,33,0.08333333333333333,0.0003247456159341849
3763,0,2,3,34,0.08108108108108109,0.0003247456159341849
3231,0,2,3,35,0.07894736842105263,0.0003247456159341849
5780,0,2,3,36,0.07692307692307693,0.0003247456159341849
2957,0,2,3,37,0.075,0.0003247456159341849
949,0,2,3,38,0.07317073170731707,0.0003247456159341849
10640,0,2,3,39,0.07142857142857142,0.0003247456159341849
2492,0,2,3,40,0.06976744186046512,0.0003247456159341849
2258,0,2,3,41,0.06818181818181818,0.0003247456159341849
9584,0,2,3,42,0.06666666666666667,0.0003247456159341849
1862,0,2,3,43,0.06521739130434782,0.0003247456159341849
84,0,2,3,44,0.06382978723404255,0.0003247456159341849
218,0,2,3,45,0.0625,0.0003247456159341849
9452,0,2,3,46,0.061224489795918366,0.0003247456159341849
6118,0,0,3,47,0.06,0.0003247456159341849
29991,3,2,4,47,0.0784313725490196,0.00043299415457891317
4827,0,2,4,48,0.07692307692307693,0.00043299415457891317
935,0,2,4,49,0.07547169811320754,0.00043299415457891317
26724,3,2,5,49,0.09259259259259259,0.0005412426932236415
7627,0,2,5,50,0.09090909090909091,0.0005412426932236415
6672,0,2,5,51,0.08928571428571429,0.0005412426932236415
8094,0,2,5,52,0.08771929824561403,0.0005412426932236415
6426,0,2,5,53,0.08620689655172414,0.0005412426932236415
12174,0,2,5,54,0.0847457627118644,0.0005412426932236415
5604,0,2,5,55,0.08333333333333333,0.0005412426932236415
690,0,2,5,56,0.08196721311475409,0.0005412426932236415
3740,0,2,5,57,0.08064516129032258,0.0005412426932236415
9891,0,2,5,58,0.07936507936507936,0.0005412426932236415
31560,3,2,6,58,0.09375,0.0006494912318683698
8343,0,2,6,59,0.09230769230769231,0.0006494912318683698
30806,3,2,7,59,0.10606060606060606,0.0007577397705130981
28769,3,2,8,59,0.11940298507462686,0.0008659883091578263
29728,3,1,9,59,0.1323529411764706,0.0009742368478025547
5181,0,1,9,60,0.13043478260869565,0.0009742368478025547
7601,0,1,9,61,0.12857142857142856,0.0009742368478025547
7397,0,2,9,62,0.1267605633802817,0.0009742368478025547
28557,3,1,10,62,0.1388888888888889,0.001082485386447283
32452,3,1,11,62,0.1506849315068493,0.0011907339250920113
11490,0,1,11,63,0.14864864864864866,0.0011907339250920113
13247,0,1,11,64,0.14666666666666667,0.0011907339250920113
12426,0,1,11,65,0.14473684210526316,0.0011907339250920113
8747,0,1,11,66,0.14285714285714285,0.0011907339250920113
8820,0,1,11,67,0.14102564102564102,0.0011907339250920113
3177,0,2,11,68,0.13924050632911392,0.0011907339250920113
10590,0,1,11,69,0.1375,0.0011907339250920113
1512,0,1,11,70,0.13580246913580246,0.0011907339250920113
3851,0,1,11,71,0.13414634146341464,0.0011907339250920113
33324,3,2,12,71,0.14457831325301204,0.0012989824637367395
9607,0,1,12,72,0.14285714285714285,0.0012989824637367395
3253,0,1,12,73,0.1411764705882353,0.0012989824637367395
31807,3,1,13,73,0.1511627906976744,0.0014072310023814677
33325,3,1,14,73,0.16091954022988506,0.0015154795410261962
6286,0,1,14,74,0.1590909090909091,0.0015154795410261962
1491,0,0,14,75,0.15730337078651685,0.0015154795410261962
5398,0,0,14,76,0.15555555555555556,0.0015154795410261962
28289,3,2,15,76,0.16483516483516483,0.0016237280796709244
4417,0,0,15,77,0.16304347826086957,0.0016237280796709244
26341,3,2,16,77,0.17204301075268819,0.0017319766183156527
32088,3,2,17,77,0.18085106382978725,0.0018402251569603811
28399,3,2,18,77,0.18947368421052632,0.0019484736956051094
27888,3,2,19,77,0.19791666666666666,0.002056722234249838
29155,3,2,20,77,0.20618556701030927,0.002164970772894566
30640,3,2,21,77,0.21428571428571427,0.0022732193115392943
31328,3,2,22,77,0.2222222222222222,0.0023814678501840225
28007,3,2,23,77,0.23,0.0024897163888287508
2250,0,1,23,78,0.22772277227722773,0.0024897163888287508
30276,3,2,24,78,0.23529411764705882,0.002597964927473479
24462,3,2,25,78,0.24271844660194175,0.0027062134661182072
25362,3,2,26,78,0.25,0.0028144620047629355
32810,3,2,27,78,0.2571428571428571,0.002922710543407664
32089,3,2,28,78,0.2641509433962264,0.0030309590820523924
33333,3,2,29,78,0.27102803738317754,0.0031392076206971206
29533,3,2,30,78,0.2777777777777778,0.003247456159341849
29556,3,2,31,78,0.28440366972477066,0.003355704697986577
12498,0,0,31,79,0.2818181818181818,0.003355704697986577
31375,3,2,32,79,0.2882882882882883,0.0034639532366313053
32331,3,2,33,79,0.29464285714285715,0.0035722017752760336
12259,0,2,33,80,0.2920353982300885,0.0035722017752760336
2684,0,1,33,81,0.2894736842105263,0.0035722017752760336
28859,3,2,34,81,0.2956521739130435,0.0036804503139207623
6839,0,0,34,82,0.29310344827586204,0.0036804503139207623
29132,3,2,35,82,0.29914529914529914,0.0037886988525654905
24650,3,2,36,82,0.3050847457627119,0.0038969473912102187
25235,3,2,37,82,0.31092436974789917,0.004005195929854947
32045,3,2,38,82,0.31666666666666665,0.004113444468499676
2882,0,0,38,83,0.3140495867768595,0.004113444468499676
2109,0,1,38,84,0.3114754098360656,0.004113444468499676
9519,0,1,38,85,0.3089430894308943,0.004113444468499676
12612,0,1,38,86,0.3064516129032258,0.004113444468499676
2845,0,1,38,87,0.304,0.004113444468499676
2705,0,1,38,88,0.30158730158730157,0.004113444468499676
9697,0,1,38,89,0.2992125984251969,0.004113444468499676
4158,0,1,38,90,0.296875,0.004113444468499676
3453,0,1,38,91,0.29457364341085274,0.004113444468499676
