sample_idx,real_label,pred_label,closest_label,is_drift,pred_prob,min_distance,min_anomaly_score
0,0,0,1,Y,0.9999957084655762,4.497250556945801,1.4275312671257638
1,0,0,2,Y,0.9999990463256836,7.378292083740234,0.027849565858269882
2,0,0,0,Y,0.9999932050704956,2.8252904415130615,2.0632734930517964
3,0,0,1,Y,0.9999700784683228,2.6701231002807617,1.1533169467226005
4,0,0,1,Y,0.9999995231628418,3.9212746620178223,0.6331130946216948
5,0,0,0,Y,0.9999938011169434,2.505775213241577,2.195812409043377
6,0,0,2,Y,0.9999997615814209,7.5528693199157715,0.1411027791387823
7,0,0,0,Y,0.9999204874038696,3.116213321685791,1.9425951398349666
8,0,0,2,Y,0.9999996423721313,7.515539646148682,0.11913177048521546
9,0,0,2,Y,1.0,3.7034263610839844,0.29374905082354275
10,0,0,2,Y,0.999990701675415,8.040637016296387,0.7989153083252712
11,0,0,0,Y,1.0,6.101508617401123,0.7042572848620986
12,0,0,2,Y,0.9999991655349731,7.422358989715576,0.054089847012049046
13,0,0,2,Y,0.9999924898147583,8.032353401184082,0.7959538763444901
14,0,0,0,Y,0.9999994039535522,3.2056407928466797,1.9054995054526778
15,0,0,1,Y,0.9998199343681335,2.628012180328369,1.0906703572921312
16,0,0,0,Y,1.0,4.053844928741455,1.5536538130916597
17,0,0,1,Y,1.0,4.964224815368652,0.36839921099844725
18,0,0,0,Y,1.0,6.429596424102783,0.5681623560365286
19,0,0,2,Y,0.9992468357086182,0.6922461986541748,1.0802725108877964
20,0,0,2,Y,0.9999994039535522,2.8495612144470215,0.7100499977253871
21,0,0,0,Y,0.9999425411224365,3.1037802696228027,1.9477525254525785
22,0,0,2,Y,0.9999995231628418,7.586126804351807,0.16590150831046604
23,0,0,2,Y,1.0,7.96380615234375,0.39806416709981146
24,0,0,2,Y,0.9992627501487732,0.6937476396560669,1.0809359254525532
25,0,0,0,Y,1.0,6.23111629486084,0.6504943979799074
26,0,0,0,Y,1.0,6.1029863357543945,0.7036443087928733
27,0,0,2,Y,0.9999997615814209,7.734196186065674,0.2616784751823535
28,0,0,2,Y,0.9991751313209534,0.6880168914794922,1.0780998974175253
29,0,0,2,Y,0.9999988079071045,7.314874172210693,0.01873443962461137
30,0,0,2,Y,0.9999995231628418,7.496288299560547,0.1054417738078296
31,0,0,2,Y,1.0,3.697887420654297,0.2806243608921542
32,0,0,1,Y,0.9999995231628418,3.928313732147217,0.636699172754981
33,0,0,2,Y,0.9999886751174927,8.0568208694458,0.8046716263525683
34,0,0,1,Y,1.0,8.130335807800293,2.2476172933088336
35,0,0,0,Y,1.0,6.428528308868408,0.56860542360512
36,0,0,1,Y,1.0,5.619332790374756,0.819124727797644
37,0,0,1,Y,0.9999706745147705,2.673455238342285,1.1549119899695295
38,0,0,1,Y,0.9999995231628418,3.9270217418670654,0.636805983686695
39,0,0,1,Y,0.999830961227417,2.6367900371551514,1.092664952542879
40,0,0,2,Y,0.9999995231628418,7.507443904876709,0.11283190349430725
41,0,0,2,Y,0.9999990463256836,7.34063196182251,0.002328478311364885
42,0,0,2,Y,1.0,8.042323112487793,0.44822653659313294
43,0,0,1,Y,1.0,8.14537239074707,2.2548052734171415
44,0,0,2,Y,0.9999986886978149,7.290358543395996,0.039375454380317386
45,0,0,2,Y,0.9999994039535522,7.485572814941406,0.10026065242761453
46,0,0,0,Y,1.0,6.187724590301514,0.6684938201559092
47,0,0,2,Y,0.9999992847442627,7.460840702056885,0.08657144694231544
48,0,0,1,Y,1.0,6.228069305419922,0.14861119204223208
49,0,0,1,Y,0.9998495578765869,2.65164852142334,1.0966640329454593
50,0,0,2,Y,0.9999998807907104,7.7322678565979,0.2543061473178282
51,0,0,1,Y,0.9999994039535522,3.7780051231384277,0.49781014907498194
52,0,0,1,Y,0.9999992847442627,3.912046432495117,0.6239835291324528
53,0,0,1,Y,0.9999710321426392,2.6738765239715576,1.1548174425151605
54,0,0,2,Y,0.9999994039535522,7.3538360595703125,0.006399557193841275
55,0,0,1,Y,0.9999951124191284,3.6745591163635254,0.702190493333433
56,0,0,2,Y,0.9999992847442627,2.8584086894989014,0.7024221148168349
57,0,0,2,Y,0.9999990463256836,7.357471466064453,0.010584172140769198
58,0,0,2,Y,0.9999898672103882,8.079326629638672,0.8131081075737996
59,0,0,2,Y,0.9999997615814209,7.657021999359131,0.20973552789775554
60,0,0,0,Y,0.9999995231628418,3.2272775173187256,1.8965242224203558
61,0,0,1,Y,0.9996132254600525,4.78825044631958,1.142869453014821
62,0,0,2,Y,0.9999890327453613,2.5749380588531494,0.34332435578848064
63,0,0,0,Y,0.9999405145645142,3.104506731033325,1.9474512790655407
64,0,0,2,Y,0.9999997615814209,7.622742176055908,0.1870041836488025
65,0,0,1,Y,0.9999960660934448,4.489924907684326,1.4246616134270482
66,0,0,2,Y,0.9990624785423279,0.6798470616340637,1.0743320429023036
67,0,0,0,Y,1.0,6.879987716674805,0.3813344104250543
68,0,0,2,Y,0.9999994039535522,7.464191436767578,0.08589023055560624
69,0,0,1,Y,0.9999994039535522,3.9108121395111084,0.6380434081104037
70,0,0,1,Y,1.0,4.932490348815918,0.28794565686708284
71,0,0,1,Y,1.0,4.156126976013184,0.7912921725692397
72,0,0,1,Y,0.9999706745147705,2.6728429794311523,1.1544809880802613
73,0,0,0,Y,1.0,6.099989414215088,0.7048874693592111
74,0,0,2,Y,0.9999998807907104,7.845156669616699,0.3293289589656015
75,0,0,1,Y,0.9988595247268677,2.3467001914978027,0.8537906112814614
76,0,0,2,Y,0.9999997615814209,7.415613651275635,0.0440152025751599
77,0,0,2,Y,0.9999997615814209,7.565153121948242,0.14746475470850198
78,0,0,0,Y,0.9999407529830933,3.103388786315918,1.947914917628388
79,0,0,1,Y,1.0,8.273208618164062,2.3158034141348254
80,0,0,1,Y,0.9996335506439209,2.2236099243164062,0.740234371431716
81,0,0,1,Y,1.0,8.281042098999023,2.313715853813882
82,0,0,0,Y,1.0,7.047112464904785,0.3120089729941136
83,0,0,2,Y,0.9999979734420776,7.297685146331787,0.030313535814494176
