sample_idx,real,closest,TP,FP,precision,recall
34965,2,2,0,1,0.0,0.0
34520,2,2,0,2,0.0,0.0
34398,2,2,0,3,0.0,0.0
33984,2,2,0,4,0.0,0.0
34114,2,2,0,5,0.0,0.0
35064,2,2,0,6,0.0,0.0
34032,2,2,0,7,0.0,0.0
34257,2,2,0,8,0.0,0.0
34735,2,2,0,9,0.0,0.0
34430,2,2,0,10,0.0,0.0
35151,2,2,0,11,0.0,0.0
34668,2,2,0,12,0.0,0.0
33748,2,2,0,13,0.0,0.0
35219,2,2,0,14,0.0,0.0
35069,2,2,0,15,0.0,0.0
34410,2,2,0,16,0.0,0.0
9717,0,2,0,17,0.0,0.0
35385,2,2,0,18,0.0,0.0
34055,2,2,0,19,0.0,0.0
33980,2,2,0,20,0.0,0.0
10640,0,2,0,21,0.0,0.0
12221,0,2,0,22,0.0,0.0
3494,0,2,0,23,0.0,0.0
448,0,2,0,24,0.0,0.0
13139,0,2,0,25,0.0,0.0
11947,0,2,0,26,0.0,0.0
34517,2,2,0,27,0.0,0.0
34933,2,2,0,28,0.0,0.0
34216,2,2,0,29,0.0,0.0
34367,2,2,0,30,0.0,0.0
7427,0,0,0,31,0.0,0.0
13099,0,0,0,32,0.0,0.0
33875,2,2,0,33,0.0,0.0
35082,2,2,0,34,0.0,0.0
35506,2,2,0,35,0.0,0.0
33954,2,2,0,36,0.0,0.0
2091,0,2,0,37,0.0,0.0
34996,2,2,0,38,0.0,0.0
34683,2,2,0,39,0.0,0.0
34622,2,2,0,40,0.0,0.0
34743,2,2,0,41,0.0,0.0
34174,2,2,0,42,0.0,0.0
2338,0,2,0,43,0.0,0.0
33913,2,2,0,44,0.0,0.0
34466,2,2,0,45,0.0,0.0
5090,0,2,0,46,0.0,0.0
4252,0,2,0,47,0.0,0.0
35139,2,2,0,48,0.0,0.0
34554,2,2,0,49,0.0,0.0
35411,2,2,0,50,0.0,0.0
35377,2,2,0,51,0.0,0.0
9288,0,2,0,52,0.0,0.0
2237,0,2,0,53,0.0,0.0
33929,2,2,0,54,0.0,0.0
7026,0,2,0,55,0.0,0.0
34870,2,2,0,56,0.0,0.0
33790,2,2,0,57,0.0,0.0
34754,2,2,0,58,0.0,0.0
34445,2,2,0,59,0.0,0.0
34073,2,2,0,60,0.0,0.0
34527,2,2,0,61,0.0,0.0
33885,2,2,0,62,0.0,0.0
35264,2,2,0,63,0.0,0.0
33893,2,2,0,64,0.0,0.0
3700,0,2,0,65,0.0,0.0
4649,0,2,0,66,0.0,0.0
34286,2,2,0,67,0.0,0.0
34802,2,2,0,68,0.0,0.0
33686,2,2,0,69,0.0,0.0
2534,0,2,0,70,0.0,0.0
12098,0,2,0,71,0.0,0.0
34958,2,2,0,72,0.0,0.0
34497,2,2,0,73,0.0,0.0
34777,2,2,0,74,0.0,0.0
35207,2,2,0,75,0.0,0.0
1102,0,2,0,76,0.0,0.0
1698,0,2,0,77,0.0,0.0
33754,2,2,0,78,0.0,0.0
11007,0,2,0,79,0.0,0.0
35458,2,2,0,80,0.0,0.0
9805,0,2,0,81,0.0,0.0
33879,2,2,0,82,0.0,0.0
34348,2,2,0,83,0.0,0.0
34301,2,2,0,84,0.0,0.0
33968,2,2,0,85,0.0,0.0
34567,2,2,0,86,0.0,0.0
35335,2,2,0,87,0.0,0.0
34408,2,2,0,88,0.0,0.0
33779,2,2,0,89,0.0,0.0
35414,2,2,0,90,0.0,0.0
34268,2,2,0,91,0.0,0.0
34888,2,2,0,92,0.0,0.0
35355,2,2,0,93,0.0,0.0
34376,2,2,0,94,0.0,0.0
34086,2,2,0,95,0.0,0.0
34521,2,2,0,96,0.0,0.0
35145,2,2,0,97,0.0,0.0
35214,2,2,0,98,0.0,0.0
35183,2,2,0,99,0.0,0.0
