sample_idx,real,closest,TP,FP,precision,recall
28782,3,1,1,0,1.0,0.00010824853864472829
27665,3,1,2,0,1.0,0.00021649707728945658
29092,3,2,3,0,1.0,0.0003247456159341849
32266,3,2,4,0,1.0,0.00043299415457891317
26314,3,2,5,0,1.0,0.0005412426932236415
27591,3,2,6,0,1.0,0.0006494912318683698
27469,3,2,7,0,1.0,0.0007577397705130981
33017,3,2,8,0,1.0,0.0008659883091578263
32643,3,2,9,0,1.0,0.0009742368478025547
28279,3,2,10,0,1.0,0.001082485386447283
25606,3,2,11,0,1.0,0.0011907339250920113
31704,3,2,12,0,1.0,0.0012989824637367395
29215,3,2,13,0,1.0,0.0014072310023814677
26622,3,2,14,0,1.0,0.0015154795410261962
32333,3,2,15,0,1.0,0.0016237280796709244
26781,3,2,16,0,1.0,0.0017319766183156527
28142,3,2,17,0,1.0,0.0018402251569603811
32609,3,2,18,0,1.0,0.0019484736956051094
32944,3,2,19,0,1.0,0.002056722234249838
30059,3,2,20,0,1.0,0.002164970772894566
27355,3,2,21,0,1.0,0.0022732193115392943
27418,3,2,22,0,1.0,0.0023814678501840225
29299,3,2,23,0,1.0,0.0024897163888287508
33338,3,2,24,0,1.0,0.002597964927473479
28054,3,2,25,0,1.0,0.0027062134661182072
32838,3,2,26,0,1.0,0.0028144620047629355
33491,3,2,27,0,1.0,0.002922710543407664
32407,3,2,28,0,1.0,0.0030309590820523924
26074,3,2,29,0,1.0,0.0031392076206971206
31535,3,2,30,0,1.0,0.003247456159341849
26537,3,2,31,0,1.0,0.003355704697986577
25782,3,2,32,0,1.0,0.0034639532366313053
27381,3,2,33,0,1.0,0.0035722017752760336
31002,3,2,34,0,1.0,0.0036804503139207623
29351,3,2,35,0,1.0,0.0037886988525654905
29968,3,2,36,0,1.0,0.0038969473912102187
28573,3,2,37,0,1.0,0.004005195929854947
32529,3,2,38,0,1.0,0.004113444468499676
31600,3,2,39,0,1.0,0.0042216930071444034
28417,3,2,40,0,1.0,0.004329941545789132
30100,3,2,41,0,1.0,0.00443819008443386
33281,3,2,42,0,1.0,0.004546438623078589
30505,3,2,43,0,1.0,0.004654687161723316
27078,3,2,44,0,1.0,0.004762935700368045
30357,3,2,45,0,1.0,0.004871184239012774
33187,3,2,46,0,1.0,0.0049794327776575015
26915,3,2,47,0,1.0,0.00508768131630223
33443,3,2,48,0,1.0,0.005195929854946958
33522,3,2,49,0,1.0,0.005304178393591687
30674,3,2,50,0,1.0,0.0054124269322364145
25771,3,2,51,0,1.0,0.005520675470881143
32104,3,2,52,0,1.0,0.005628924009525871
28951,3,2,53,0,1.0,0.0057371725481706
26645,3,2,54,0,1.0,0.005845421086815328
27653,3,2,55,0,1.0,0.005953669625460056
30217,3,2,56,0,1.0,0.006061918164104785
30341,3,2,57,0,1.0,0.006170166702749513
29445,3,2,58,0,1.0,0.006278415241394241
30381,3,2,59,0,1.0,0.006386663780038969
30294,3,2,60,0,1.0,0.006494912318683698
28815,3,2,61,0,1.0,0.006603160857328426
25341,3,2,62,0,1.0,0.006711409395973154
33073,3,2,63,0,1.0,0.006819657934617883
26997,3,2,64,0,1.0,0.006927906473262611
26422,3,2,65,0,1.0,0.007036155011907339
31999,3,2,66,0,1.0,0.007144403550552067
25558,3,2,67,0,1.0,0.007252652089196796
26185,3,2,68,0,1.0,0.0073609006278415245
32548,3,2,69,0,1.0,0.007469149166486252
26829,3,2,70,0,1.0,0.007577397705130981
26370,3,2,71,0,1.0,0.007685646243775709
33009,3,2,72,0,1.0,0.0077938947824204375
31946,3,2,73,0,1.0,0.007902143321065166
33325,3,2,74,0,1.0,0.008010391859709894
27615,3,2,75,0,1.0,0.008118640398354622
32092,3,2,76,0,1.0,0.008226888936999351
30993,3,2,77,0,1.0,0.008335137475644079
33474,3,2,78,0,1.0,0.008443386014288807
26463,3,2,79,0,1.0,0.008551634552933535
28270,3,2,80,0,1.0,0.008659883091578264
29828,3,2,81,0,1.0,0.008768131630222992
24710,3,2,82,0,1.0,0.00887638016886772
30376,3,2,83,0,1.0,0.00898462870751245
28970,3,2,84,0,1.0,0.009092877246157177
32829,3,2,85,0,1.0,0.009201125784801905
26450,3,2,86,0,1.0,0.009309374323446633
33051,3,2,87,0,1.0,0.009417622862091362
28295,3,2,88,0,1.0,0.00952587140073609
30485,3,2,89,0,1.0,0.009634119939380818
24304,3,2,90,0,1.0,0.009742368478025547
26572,3,2,91,0,1.0,0.009850617016670275
32122,3,2,92,0,1.0,0.009958865555315003
27749,3,2,93,0,1.0,0.010067114093959731
31297,3,2,94,0,1.0,0.01017536263260446
29177,3,2,95,0,1.0,0.010283611171249188
26876,3,2,96,0,1.0,0.010391859709893916
31807,3,2,97,0,1.0,0.010500108248538646
26157,3,2,98,0,1.0,0.010608356787183373
29577,3,2,99,0,1.0,0.010716605325828101
29114,3,2,100,0,1.0,0.010824853864472829
24403,3,2,101,0,1.0,0.010933102403117559
29250,3,2,102,0,1.0,0.011041350941762286
25522,3,2,103,0,1.0,0.011149599480407014
25775,3,2,104,0,1.0,0.011257848019051742
30298,3,2,105,0,1.0,0.011366096557696471
25094,3,2,106,0,1.0,0.0114743450963412
27509,3,2,107,0,1.0,0.011582593634985927
24448,3,2,108,0,1.0,0.011690842173630657
29861,3,2,109,0,1.0,0.011799090712275384
27309,3,2,110,0,1.0,0.011907339250920112
29368,3,2,111,0,1.0,0.01201558778956484
31656,3,2,112,0,1.0,0.01212383632820957
32773,3,2,113,0,1.0,0.012232084866854297
27077,3,2,114,0,1.0,0.012340333405499025
32726,3,2,115,0,1.0,0.012448581944143755
27201,3,2,116,0,1.0,0.012556830482788483
26357,3,2,117,0,1.0,0.01266507902143321
26555,3,2,118,0,1.0,0.012773327560077938
31871,3,2,119,0,1.0,0.012881576098722668
28944,3,2,120,0,1.0,0.012989824637367395
25605,3,2,121,0,1.0,0.013098073176012123
28412,3,2,122,0,1.0,0.013206321714656853
28880,3,2,123,0,1.0,0.01331457025330158
33065,3,2,124,0,1.0,0.013422818791946308
24341,3,2,125,0,1.0,0.013531067330591036
25015,3,2,126,0,1.0,0.013639315869235766
25800,3,2,127,0,1.0,0.013747564407880494
29609,3,2,128,0,1.0,0.013855812946525221
31921,3,2,129,0,1.0,0.013964061485169951
24391,3,2,130,0,1.0,0.014072310023814679
32542,3,2,131,0,1.0,0.014180558562459407
24746,3,2,132,0,1.0,0.014288807101104134
32711,3,2,133,0,1.0,0.014397055639748864
33507,3,2,134,0,1.0,0.014505304178393592
29307,3,2,135,0,1.0,0.01461355271703832
25745,3,2,136,0,1.0,0.014721801255683049
33371,3,2,137,0,1.0,0.014830049794327777
30035,3,2,138,0,1.0,0.014938298332972505
27756,3,2,139,0,1.0,0.015046546871617232
32955,3,2,140,0,1.0,0.015154795410261962
26675,3,2,141,0,1.0,0.01526304394890669
24880,3,2,142,0,1.0,0.015371292487551418
26705,3,2,143,0,1.0,0.015479541026196147
27028,3,2,144,0,1.0,0.015587789564840875
30408,3,2,145,0,1.0,0.015696038103485604
29456,3,2,146,0,1.0,0.015804286642130332
27861,3,2,147,0,1.0,0.01591253518077506
29664,3,2,148,0,1.0,0.016020783719419788
32848,3,2,149,0,1.0,0.016129032258064516
31440,3,2,150,0,1.0,0.016237280796709243
32212,3,2,151,0,1.0,0.01634552933535397
26945,3,2,152,0,1.0,0.016453777873998703
24478,3,2,153,0,1.0,0.01656202641264343
27120,3,2,154,0,1.0,0.016670274951288158
31416,3,2,155,0,1.0,0.016778523489932886
32937,3,2,156,0,1.0,0.016886772028577614
28849,3,2,157,0,1.0,0.01699502056722234
31756,3,2,158,0,1.0,0.01710326910586707
33520,3,2,159,0,1.0,0.0172115176445118
30280,3,2,160,0,1.0,0.01731976618315653
32037,3,2,161,0,1.0,0.017428014721801256
29049,3,2,162,0,1.0,0.017536263260445984
33417,3,2,163,0,1.0,0.017644511799090712
26908,3,2,164,0,1.0,0.01775276033773544
33207,3,2,165,0,1.0,0.017861008876380167
27844,3,2,166,0,1.0,0.0179692574150249
29024,3,2,167,0,1.0,0.018077505953669627
29993,3,2,168,0,1.0,0.018185754492314354
30063,3,2,169,0,1.0,0.018294003030959082
25543,3,2,170,0,1.0,0.01840225156960381
28545,3,2,171,0,1.0,0.018510500108248538
29468,3,2,172,0,1.0,0.018618748646893266
28414,3,2,173,0,1.0,0.018726997185537997
32152,3,2,174,0,1.0,0.018835245724182725
32537,3,2,175,0,1.0,0.018943494262827452
32803,3,2,176,0,1.0,0.01905174280147218
28178,3,2,177,0,1.0,0.019159991340116908
29771,3,2,178,0,1.0,0.019268239878761636
27518,3,2,179,0,1.0,0.019376488417406364
28556,3,2,180,0,1.0,0.019484736956051095
25514,3,2,181,0,1.0,0.019592985494695823
27456,3,2,182,0,1.0,0.01970123403334055
29710,3,2,183,0,1.0,0.01980948257198528
28048,3,2,184,0,1.0,0.019917731110630006
27866,3,2,185,0,1.0,0.020025979649274734
27312,3,2,186,0,1.0,0.020134228187919462
33386,3,2,187,0,1.0,0.020242476726564193
27532,3,2,188,0,1.0,0.02035072526520892
26366,3,2,189,0,1.0,0.02045897380385365
33461,3,2,190,0,1.0,0.020567222342498376
32446,3,2,191,0,1.0,0.020675470881143104
27408,3,2,192,0,1.0,0.020783719419787832
28143,3,2,193,0,1.0,0.02089196795843256
25224,3,2,194,0,1.0,0.02100021649707729
25262,3,2,195,0,1.0,0.02110846503572202
31826,3,2,196,0,1.0,0.021216713574366747
27220,3,2,197,0,1.0,0.021324962113011475
32287,3,2,198,0,1.0,0.021433210651656202
33307,3,2,199,0,1.0,0.02154145919030093
28197,3,2,200,0,1.0,0.021649707728945658
25864,3,2,201,0,1.0,0.02175795626759039
25723,3,2,202,0,1.0,0.021866204806235117
32474,3,2,203,0,1.0,0.021974453344879845
32061,3,2,204,0,1.0,0.022082701883524573
24820,3,2,205,0,1.0,0.0221909504221693
27108,3,2,206,0,1.0,0.02229919896081403
24732,3,2,207,0,1.0,0.022407447499458756
32705,3,2,208,0,1.0,0.022515696038103484
26679,3,2,209,0,1.0,0.022623944576748215
25981,3,2,210,0,1.0,0.022732193115392943
