sample_idx,real_label,pred_label,pred_prob
24292,3,2,1.0
24293,3,2,1.0
24294,3,2,1.0
24295,3,2,1.0
24296,3,2,1.0
24297,3,2,1.0
24298,3,2,1.0
24299,3,2,1.0
24300,3,2,1.0
24301,3,2,1.0
24302,3,2,1.0
24303,3,2,1.0
24304,3,2,1.0
24305,3,2,1.0
24306,3,2,1.0
24307,3,2,1.0
24308,3,2,1.0
24309,3,2,1.0
24310,3,2,1.0
24311,3,2,1.0
24312,3,2,1.0
24313,3,2,1.0
24314,3,2,1.0
24315,3,2,1.0
24316,3,2,1.0
24317,3,2,1.0
24318,3,2,1.0
24319,3,2,1.0
24320,3,2,1.0
24321,3,2,1.0
24322,3,2,1.0
24323,3,2,1.0
24324,3,2,1.0
24325,3,2,1.0
24326,3,2,1.0
24327,3,2,1.0
24328,3,2,1.0
24329,3,2,1.0
24330,3,2,1.0
24331,3,2,1.0
24332,3,2,1.0
24333,3,2,1.0
24334,3,2,1.0
24335,3,2,1.0
24336,3,2,1.0
24337,3,2,1.0
24338,3,2,1.0
24339,3,2,1.0
24340,3,2,1.0
24341,3,2,1.0
24342,3,2,1.0
24343,3,2,1.0
24344,3,2,1.0
24345,3,2,1.0
24346,3,2,1.0
24347,3,2,1.0
24348,3,2,1.0
24349,3,2,1.0
24350,3,2,1.0
24351,3,2,1.0
24352,3,2,1.0
24353,3,2,1.0
24354,3,2,1.0
24355,3,2,1.0
24356,3,2,1.0
24357,3,2,1.0
24358,3,2,1.0
24359,3,2,1.0
24360,3,2,1.0
24361,3,2,1.0
24362,3,2,1.0
24363,3,2,1.0
24364,3,2,1.0
24365,3,2,1.0
24366,3,2,1.0
24367,3,2,1.0
24368,3,2,1.0
24369,3,2,1.0
24370,3,2,1.0
24371,3,2,1.0
24372,3,2,1.0
24373,3,2,1.0
24374,3,2,1.0
24375,3,2,1.0
24376,3,2,1.0
24377,3,2,1.0
24378,3,2,1.0
24379,3,2,1.0
24380,3,2,1.0
24381,3,2,1.0
24382,3,2,1.0
24383,3,2,1.0
24384,3,2,1.0
24385,3,2,1.0
24386,3,2,1.0
24387,3,2,1.0
24388,3,2,1.0
24389,3,2,1.0
24390,3,2,1.0
24391,3,2,1.0
24392,3,2,1.0
24393,3,2,1.0
24394,3,2,1.0
24395,3,2,1.0
24396,3,2,1.0
24397,3,2,1.0
24398,3,2,1.0
24399,3,2,1.0
24400,3,2,1.0
24401,3,2,1.0
24402,3,2,1.0
24403,3,2,1.0
24404,3,2,1.0
24405,3,2,1.0
24406,3,2,1.0
24407,3,2,1.0
24408,3,2,1.0
24409,3,2,1.0
24410,3,2,1.0
24411,3,2,1.0
24412,3,2,1.0
24413,3,2,1.0
24414,3,2,1.0
24415,3,2,1.0
24416,3,2,1.0
24417,3,2,1.0
24418,3,2,1.0
24419,3,2,1.0
24420,3,2,1.0
24421,3,2,1.0
24422,3,2,1.0
24423,3,2,1.0
24424,3,2,1.0
24425,3,2,1.0
24426,3,2,1.0
24427,3,2,1.0
24428,3,2,1.0
24429,3,2,1.0
24430,3,2,1.0
24431,3,2,1.0
24432,3,2,1.0
24433,3,2,1.0
24434,3,2,1.0
24435,3,2,1.0
24436,3,2,1.0
24437,3,2,1.0
24438,3,2,1.0
24439,3,2,1.0
24440,3,2,1.0
24441,3,2,1.0
24442,3,2,1.0
24443,3,2,1.0
24444,3,2,1.0
24445,3,2,1.0
24446,3,2,1.0
24447,3,2,1.0
24448,3,2,1.0
24449,3,2,1.0
24450,3,2,1.0
24451,3,2,1.0
24452,3,2,1.0
24453,3,2,1.0
24454,3,2,1.0
24455,3,2,1.0
24456,3,2,1.0
24457,3,2,1.0
24458,3,2,1.0
24459,3,2,1.0
24460,3,2,1.0
24461,3,2,1.0
24462,3,2,1.0
24463,3,2,1.0
24464,3,2,1.0
24465,3,2,1.0
24466,3,2,1.0
24467,3,2,1.0
24468,3,2,1.0
24469,3,2,1.0
24470,3,2,1.0
24471,3,2,1.0
24472,3,2,1.0
24473,3,2,1.0
24474,3,2,1.0
24475,3,2,1.0
24476,3,2,1.0
24477,3,2,1.0
24478,3,2,1.0
24479,3,2,1.0
24480,3,2,1.0
24481,3,2,1.0
24482,3,2,1.0
24483,3,2,1.0
24484,3,2,1.0
24485,3,2,1.0
24486,3,2,1.0
24487,3,2,1.0
24488,3,2,1.0
24489,3,2,1.0
24490,3,2,1.0
24491,3,2,1.0
24492,3,2,1.0
24493,3,2,1.0
24494,3,2,1.0
24495,3,2,1.0
24496,3,2,1.0
24497,3,2,1.0
24498,3,2,1.0
24499,3,2,1.0
24500,3,2,1.0
24501,3,2,1.0
24502,3,2,1.0
24503,3,2,1.0
24504,3,2,1.0
24505,3,2,1.0
24506,3,2,1.0
24507,3,2,1.0
24508,3,2,1.0
24509,3,2,1.0
24510,3,2,1.0
24511,3,2,1.0
24512,3,2,1.0
24513,3,2,1.0
24514,3,2,1.0
24515,3,2,1.0
24516,3,2,1.0
24517,3,2,1.0
24518,3,2,1.0
24519,3,2,1.0
24520,3,2,1.0
24521,3,2,1.0
24522,3,2,1.0
24523,3,2,1.0
24524,3,2,1.0
24525,3,2,1.0
24526,3,2,1.0
24527,3,2,1.0
24528,3,2,1.0
24529,3,2,1.0
24530,3,2,1.0
24531,3,2,1.0
24532,3,2,1.0
24533,3,2,1.0
24534,3,2,1.0
24535,3,2,1.0
24536,3,2,1.0
24537,3,2,1.0
24538,3,2,1.0
24539,3,2,1.0
24540,3,2,1.0
24541,3,2,1.0
24542,3,2,1.0
24543,3,2,1.0
24544,3,2,1.0
24545,3,2,1.0
24546,3,2,1.0
24547,3,2,1.0
24548,3,2,1.0
24549,3,2,1.0
24550,3,2,1.0
24551,3,2,1.0
24552,3,2,1.0
24553,3,2,1.0
24554,3,2,1.0
24555,3,2,1.0
24556,3,2,1.0
24557,3,2,1.0
24558,3,2,1.0
24559,3,2,1.0
24560,3,2,1.0
24561,3,2,1.0
24562,3,2,1.0
24563,3,2,1.0
24564,3,2,1.0
24565,3,2,1.0
24566,3,2,1.0
24567,3,2,1.0
24568,3,2,1.0
24569,3,2,1.0
24570,3,2,1.0
24571,3,2,1.0
24572,3,2,1.0
24573,3,2,1.0
24574,3,2,1.0
24575,3,2,1.0
24576,3,2,1.0
24577,3,2,1.0
24578,3,2,1.0
24579,3,2,1.0
24580,3,2,1.0
24581,3,2,1.0
24582,3,2,1.0
24583,3,2,1.0
24584,3,2,1.0
24585,3,2,1.0
24586,3,2,1.0
24587,3,2,1.0
24588,3,2,1.0
24589,3,2,1.0
24590,3,2,1.0
24591,3,2,1.0
24592,3,2,1.0
24593,3,2,1.0
24594,3,2,1.0
24595,3,2,1.0
24596,3,2,1.0
24597,3,2,1.0
24598,3,2,1.0
24599,3,2,1.0
24600,3,2,1.0
24601,3,2,1.0
24602,3,2,1.0
24603,3,2,1.0
24604,3,2,1.0
24605,3,2,1.0
24606,3,2,1.0
24607,3,2,1.0
24608,3,2,1.0
24609,3,2,1.0
24610,3,2,1.0
24611,3,2,1.0
24612,3,2,1.0
24613,3,2,1.0
24614,3,2,1.0
24615,3,2,1.0
24616,3,2,1.0
24617,3,2,1.0
24618,3,2,1.0
24619,3,2,1.0
24620,3,2,1.0
24621,3,2,1.0
24622,3,2,1.0
24623,3,2,1.0
24624,3,2,1.0
24625,3,2,1.0
24626,3,2,1.0
24627,3,2,1.0
24628,3,2,1.0
24629,3,2,1.0
24630,3,2,1.0
24631,3,2,1.0
24632,3,2,1.0
24633,3,2,1.0
24634,3,2,1.0
24635,3,2,1.0
24636,3,2,1.0
24637,3,2,1.0
24638,3,2,1.0
24639,3,2,1.0
24640,3,2,1.0
24641,3,2,1.0
24642,3,2,1.0
24643,3,2,1.0
24644,3,2,1.0
24645,3,2,1.0
24646,3,2,1.0
24647,3,2,1.0
24648,3,2,1.0
24649,3,2,1.0
24650,3,2,1.0
24651,3,2,1.0
24652,3,2,1.0
24653,3,2,1.0
24654,3,2,1.0
24655,3,2,1.0
24656,3,2,1.0
24657,3,2,1.0
24658,3,2,1.0
24659,3,2,1.0
24660,3,2,1.0
24661,3,2,1.0
24662,3,2,1.0
24663,3,2,1.0
24664,3,2,1.0
24665,3,2,1.0
24666,3,2,1.0
24667,3,2,1.0
24668,3,2,1.0
24669,3,2,1.0
24670,3,2,1.0
24671,3,2,1.0
24672,3,2,1.0
24673,3,2,1.0
24674,3,2,1.0
24675,3,2,1.0
24676,3,2,1.0
24677,3,2,1.0
24678,3,2,1.0
24679,3,2,1.0
24680,3,2,1.0
24681,3,2,1.0
24682,3,2,1.0
24683,3,2,1.0
24684,3,2,1.0
24685,3,2,1.0
24686,3,2,1.0
24687,3,2,1.0
24688,3,2,1.0
24689,3,2,1.0
24690,3,2,1.0
24691,3,2,1.0
24692,3,2,1.0
24693,3,2,1.0
24694,3,2,1.0
24695,3,2,1.0
24696,3,2,1.0
24697,3,2,1.0
24698,3,2,1.0
24699,3,2,1.0
24700,3,2,1.0
24701,3,2,1.0
24702,3,2,1.0
24703,3,2,1.0
24704,3,2,1.0
24705,3,2,1.0
24706,3,2,1.0
24707,3,2,1.0
24708,3,2,1.0
24709,3,2,1.0
24710,3,2,1.0
24711,3,2,1.0
24712,3,2,1.0
24713,3,2,1.0
24714,3,2,1.0
24715,3,2,1.0
24716,3,2,1.0
24717,3,2,1.0
24718,3,2,1.0
24719,3,2,1.0
24720,3,2,1.0
24721,3,2,1.0
24722,3,2,1.0
24723,3,2,1.0
24724,3,2,1.0
24725,3,2,1.0
24726,3,2,1.0
24727,3,2,1.0
24728,3,2,1.0
24729,3,2,1.0
24730,3,2,1.0
24731,3,2,1.0
24732,3,2,1.0
24733,3,2,1.0
24734,3,2,1.0
24735,3,2,1.0
24736,3,2,1.0
24737,3,2,1.0
24738,3,2,1.0
24739,3,2,1.0
24740,3,2,1.0
24741,3,2,1.0
24742,3,2,1.0
24743,3,2,1.0
24744,3,2,1.0
24745,3,2,1.0
24746,3,2,1.0
24747,3,2,1.0
24748,3,2,1.0
24749,3,2,1.0
24750,3,2,1.0
24751,3,2,1.0
24752,3,2,1.0
24753,3,2,1.0
24754,3,2,1.0
24755,3,2,1.0
24756,3,2,1.0
24757,3,2,1.0
24758,3,2,1.0
24759,3,2,1.0
24760,3,2,1.0
24761,3,2,1.0
24762,3,2,1.0
24763,3,2,1.0
24764,3,2,1.0
24765,3,2,1.0
24766,3,2,1.0
24767,3,2,1.0
24768,3,2,1.0
24769,3,2,1.0
24770,3,2,1.0
24771,3,2,1.0
24772,3,2,1.0
24773,3,2,1.0
24774,3,2,1.0
24775,3,2,1.0
24776,3,2,1.0
24777,3,2,1.0
24778,3,2,1.0
24779,3,2,1.0
24780,3,2,1.0
24781,3,2,1.0
24782,3,2,1.0
24783,3,2,1.0
24784,3,2,1.0
24785,3,2,1.0
24786,3,2,1.0
24787,3,2,1.0
24788,3,2,1.0
24789,3,2,1.0
24790,3,2,1.0
24791,3,2,1.0
24792,3,2,1.0
24793,3,2,1.0
24794,3,2,1.0
24795,3,2,1.0
24796,3,2,1.0
24797,3,2,1.0
24798,3,2,1.0
24799,3,2,1.0
24800,3,2,1.0
24801,3,2,1.0
24802,3,2,1.0
24803,3,2,1.0
24804,3,2,1.0
24805,3,2,1.0
24806,3,2,1.0
24807,3,2,1.0
24808,3,2,1.0
24809,3,2,1.0
24810,3,2,1.0
24811,3,2,1.0
24812,3,2,1.0
24813,3,2,1.0
24814,3,2,1.0
24815,3,2,1.0
24816,3,2,1.0
24817,3,2,1.0
24818,3,2,1.0
24819,3,2,1.0
24820,3,2,1.0
24821,3,2,1.0
24822,3,2,1.0
