sample_idx,is_drift,closest_family,real_label,pred_label,min_distance,min_anomaly_score
0,N,0,0,0,0.021459367126226425,0.7113138391943976
1,N,0,0,0,0.017405493184924126,0.0622688715531824
2,N,0,0,0,0.01163309346884489,1.1637902026404103
3,N,0,0,0,0.014119407162070274,0.6893380330802882
4,N,0,0,0,0.021263569593429565,0.6739506679730387
5,N,0,0,0,0.008587882854044437,1.7448941827601936
6,N,0,0,0,0.01747727394104004,0.04857126953109761
7,N,0,0,0,0.02735472470521927,1.8362986716824319
8,N,0,0,0,0.017544155940413475,0.03580847544211822
9,N,0,0,0,0.02150605618953705,0.7202233052214775
10,N,0,0,0,0.02218237705528736,0.8492826041137868
11,N,0,0,0,0.017266180366277695,0.08885331632152937
12,N,0,0,0,0.01746690273284912,0.05055036100316259
13,N,0,0,0,0.022031597793102264,0.8205100689894713
14,N,0,0,0,0.020337671041488647,0.49726557069109967
15,N,0,0,0,0.015300575643777847,0.4639409119168676
16,N,0,0,0,0.022594787180423737,0.9279809916715056
17,N,0,0,0,0.03107757307589054,2.5467132469715987
18,N,0,0,0,0.03498657047748566,3.2926498128382136
19,Y,0,0,0,0.06374666839838028,8.780810863784506
20,N,0,0,0,0.01822967454791069,0.09500598754664519
21,N,0,0,0,0.011076436378061771,1.270014596264878
22,N,0,0,0,0.017592156305909157,0.026648779458800245
23,N,0,0,0,0.01806148886680603,0.06291186301743627
24,Y,0,0,0,0.04668223485350609,5.5244813603898075
25,N,0,0,0,0.020576156675815582,0.5427747222207893
26,N,0,0,0,0.01742568612098694,0.0584155434912829
27,N,0,0,0,0.01757192611694336,0.030509216326274693
28,Y,0,0,0,0.12936775386333466,21.30299036694646
29,N,0,0,0,0.017201116308569908,0.1012692006984514
30,N,0,0,0,0.01752336323261261,0.03977625527377436
31,N,0,0,0,0.021370727568864822,0.694399147209371
32,N,0,0,0,0.0212763249874115,0.6763847230019002
33,N,0,0,0,0.02223452366888523,0.8592335101575962
34,N,0,0,0,0.03186172619462013,2.696349694481147
35,N,0,0,0,0.03510450944304466,3.3151555804079353
36,N,0,0,0,0.032489001750946045,2.816049895393761
37,N,0,0,0,0.01398914959281683,0.7141945049335051
38,N,0,0,0,0.021286899223923683,0.6784025574643486
39,N,0,0,0,0.014732269570231438,0.5723882290446207
40,N,0,0,0,0.017483564093708992,0.04737094770976797
41,N,0,0,0,0.017250120639801025,0.09191792240488862
42,N,0,0,0,0.018296018242836,0.1076660593950666
43,N,0,0,0,0.03187425062060356,2.6987396749154438
44,N,0,0,0,0.017301488667726517,0.08211559039759551
45,N,0,0,0,0.017522361129522324,0.03996748214374041
46,N,0,0,0,0.019637970253825188,0.3637447854199543
47,N,0,0,0,0.017449162900447845,0.05393557421795189
48,Y,0,0,0,0.03620949387550354,3.5260148387303123
49,N,0,0,0,0.014262141659855843,0.6621006445198824
50,N,0,0,0,0.017586790025234222,0.027672802901871223
51,N,0,0,0,0.023523353040218353,1.1051750794326107
52,N,0,0,0,0.021179253235459328,0.6578609528749846
53,N,0,0,0,0.013993944972753525,0.7132794239358702
54,N,0,0,0,0.01734248176217079,0.07429306074292488
55,N,0,0,0,0.02196844294667244,0.8084585108982653
56,N,0,0,0,0.01833987422287464,0.11603490075817183
57,N,0,0,0,0.017337370663881302,0.07526838886780748
58,N,0,0,0,0.02222619391977787,0.8576439812310382
59,N,0,0,0,0.017600957304239273,0.02496932414171924
60,N,0,0,0,0.01716807298362255,0.10757471124342854
61,N,0,0,0,0.01721980981528759,0.09770200206094347
62,N,0,0,0,0.02034095674753189,0.4978925673428099
63,N,0,0,0,0.012230257503688335,1.0498360492740253
64,N,0,0,0,0.01755543053150177,0.0336569954348608
65,N,0,0,0,0.02106693759560585,0.6364282595068009
66,Y,0,0,0,0.2080817073583603,36.323624990434496
67,N,0,0,0,0.024135388433933258,1.2219670679845145
68,N,0,0,0,0.017437227070331573,0.05621323552416461
69,N,0,0,0,0.021429643034934998,0.7056417232261482
70,N,0,0,0,0.03279701620340347,2.8748269216485296
