sample_idx,real,closest,TP,FP,precision,recall
10576,0,0,0,1,0.0,0.0
34155,2,2,0,2,0.0,0.0
331,0,0,0,3,0.0,0.0
11352,0,0,0,4,0.0,0.0
34759,2,2,0,5,0.0,0.0
6985,0,0,0,6,0.0,0.0
4461,0,0,0,7,0.0,0.0
612,0,0,0,8,0.0,0.0
12708,0,0,0,9,0.0,0.0
11100,0,0,0,10,0.0,0.0
7306,0,0,0,11,0.0,0.0
6315,0,0,0,12,0.0,0.0
35449,2,2,0,13,0.0,0.0
13233,0,0,0,14,0.0,0.0
3280,0,0,0,15,0.0,0.0
6567,0,0,0,16,0.0,0.0
35512,2,2,0,17,0.0,0.0
35192,2,2,0,18,0.0,0.0
35179,2,2,0,19,0.0,0.0
33801,2,2,0,20,0.0,0.0
34266,2,2,0,21,0.0,0.0
35135,2,2,0,22,0.0,0.0
35115,2,2,0,23,0.0,0.0
34668,2,2,0,24,0.0,0.0
34030,2,2,0,25,0.0,0.0
34945,2,2,0,26,0.0,0.0
12058,0,0,0,27,0.0,0.0
35219,2,2,0,28,0.0,0.0
33812,2,2,0,29,0.0,0.0
34933,2,2,0,30,0.0,0.0
34517,2,2,0,31,0.0,0.0
33733,2,2,0,32,0.0,0.0
34367,2,2,0,33,0.0,0.0
35471,2,2,0,34,0.0,0.0
34218,2,2,0,35,0.0,0.0
34154,2,2,0,36,0.0,0.0
33866,2,2,0,37,0.0,0.0
34712,2,2,0,38,0.0,0.0
34049,2,2,0,39,0.0,0.0
34414,2,2,0,40,0.0,0.0
34135,2,2,0,41,0.0,0.0
34344,2,2,0,42,0.0,0.0
34763,2,2,0,43,0.0,0.0
35324,2,2,0,44,0.0,0.0
33875,2,2,0,45,0.0,0.0
35049,2,2,0,46,0.0,0.0
35296,2,2,0,47,0.0,0.0
34658,2,2,0,48,0.0,0.0
34084,2,2,0,49,0.0,0.0
35480,2,2,0,50,0.0,0.0
35025,2,2,0,51,0.0,0.0
33987,2,2,0,52,0.0,0.0
35145,2,2,0,53,0.0,0.0
35240,2,2,0,54,0.0,0.0
8075,0,0,0,55,0.0,0.0
34170,2,2,0,56,0.0,0.0
34279,2,2,0,57,0.0,0.0
34101,2,2,0,58,0.0,0.0
35377,2,2,0,59,0.0,0.0
35214,2,2,0,60,0.0,0.0
34376,2,2,0,61,0.0,0.0
33989,2,2,0,62,0.0,0.0
35093,2,2,0,63,0.0,0.0
35373,2,2,0,64,0.0,0.0
35248,2,2,0,65,0.0,0.0
33824,2,2,0,66,0.0,0.0
34626,2,2,0,67,0.0,0.0
33950,2,2,0,68,0.0,0.0
34086,2,2,0,69,0.0,0.0
34583,2,2,0,70,0.0,0.0
34896,2,2,0,71,0.0,0.0
34692,2,2,0,72,0.0,0.0
34823,2,2,0,73,0.0,0.0
35490,2,2,0,74,0.0,0.0
35371,2,2,0,75,0.0,0.0
35095,2,2,0,76,0.0,0.0
35341,2,2,0,77,0.0,0.0
34902,2,2,0,78,0.0,0.0
33794,2,2,0,79,0.0,0.0
34594,2,2,0,80,0.0,0.0
33840,2,2,0,81,0.0,0.0
33829,2,2,0,82,0.0,0.0
34638,2,2,0,83,0.0,0.0
34796,2,2,0,84,0.0,0.0
33833,2,2,0,85,0.0,0.0
34270,2,2,0,86,0.0,0.0
35034,2,2,0,87,0.0,0.0
34160,2,2,0,88,0.0,0.0
34240,2,2,0,89,0.0,0.0
34625,2,2,0,90,0.0,0.0
34028,2,2,0,91,0.0,0.0
35342,2,2,0,92,0.0,0.0
34641,2,2,0,93,0.0,0.0
34769,2,2,0,94,0.0,0.0
34447,2,2,0,95,0.0,0.0
35515,2,2,0,96,0.0,0.0
34862,2,2,0,97,0.0,0.0
35040,2,2,0,98,0.0,0.0
35268,2,2,0,99,0.0,0.0
35387,2,2,0,100,0.0,0.0
34529,2,2,0,101,0.0,0.0
34381,2,2,0,102,0.0,0.0
34500,2,2,0,103,0.0,0.0
34469,2,2,0,104,0.0,0.0
34321,2,2,0,105,0.0,0.0
33748,2,2,0,106,0.0,0.0
34721,2,2,0,107,0.0,0.0
33915,2,2,0,108,0.0,0.0
35343,2,2,0,109,0.0,0.0
33817,2,2,0,110,0.0,0.0
34369,2,2,0,111,0.0,0.0
34652,2,2,0,112,0.0,0.0
34091,2,2,0,113,0.0,0.0
34357,2,2,0,114,0.0,0.0
34612,2,2,0,115,0.0,0.0
34856,2,2,0,116,0.0,0.0
34387,2,2,0,117,0.0,0.0
34884,2,2,0,118,0.0,0.0
34404,2,2,0,119,0.0,0.0
34193,2,2,0,120,0.0,0.0
35399,2,2,0,121,0.0,0.0
34772,2,2,0,122,0.0,0.0
35476,2,2,0,123,0.0,0.0
33749,2,2,0,124,0.0,0.0
34304,2,2,0,125,0.0,0.0
34888,2,2,0,126,0.0,0.0
34567,2,2,0,127,0.0,0.0
35513,2,2,0,128,0.0,0.0
34131,2,2,0,129,0.0,0.0
34190,2,2,0,130,0.0,0.0
34018,2,2,0,131,0.0,0.0
33716,2,2,0,132,0.0,0.0
34704,2,2,0,133,0.0,0.0
34876,2,2,0,134,0.0,0.0
34396,2,2,0,135,0.0,0.0
35414,2,2,0,136,0.0,0.0
35266,2,2,0,137,0.0,0.0
34408,2,2,0,138,0.0,0.0
34203,2,2,0,139,0.0,0.0
33861,2,2,0,140,0.0,0.0
34040,2,2,0,141,0.0,0.0
34688,2,2,0,142,0.0,0.0
34275,2,2,0,143,0.0,0.0
34776,2,2,0,144,0.0,0.0
34532,2,2,0,145,0.0,0.0
34346,2,2,0,146,0.0,0.0
34269,2,2,0,147,0.0,0.0
35149,2,2,0,148,0.0,0.0
35021,2,2,0,149,0.0,0.0
34244,2,2,0,150,0.0,0.0
35084,2,2,0,151,0.0,0.0
34497,2,2,0,152,0.0,0.0
34419,2,2,0,153,0.0,0.0
34792,2,2,0,154,0.0,0.0
35418,2,2,0,155,0.0,0.0
35038,2,2,0,156,0.0,0.0
33815,2,2,0,157,0.0,0.0
34735,2,2,0,158,0.0,0.0
34348,2,2,0,159,0.0,0.0
35067,2,2,0,160,0.0,0.0
35335,2,2,0,161,0.0,0.0
33924,2,2,0,162,0.0,0.0
34379,2,2,0,163,0.0,0.0
34268,2,2,0,164,0.0,0.0
34573,2,2,0,165,0.0,0.0
34431,2,2,0,166,0.0,0.0
35482,2,2,0,167,0.0,0.0
35042,2,2,0,168,0.0,0.0
34649,2,2,0,169,0.0,0.0
34979,2,2,0,170,0.0,0.0
33929,2,2,0,171,0.0,0.0
35308,2,2,0,172,0.0,0.0
35436,2,2,0,173,0.0,0.0
34822,2,2,0,174,0.0,0.0
35071,2,2,0,175,0.0,0.0
35207,2,2,0,176,0.0,0.0
34169,2,2,0,177,0.0,0.0
35129,2,2,0,178,0.0,0.0
35069,2,2,0,179,0.0,0.0
35333,2,2,0,180,0.0,0.0
35035,2,2,0,181,0.0,0.0
33779,2,2,0,182,0.0,0.0
5807,0,0,0,183,0.0,0.0
34684,2,2,0,184,0.0,0.0
35458,2,2,0,185,0.0,0.0
35432,2,2,0,186,0.0,0.0
7456,0,0,0,187,0.0,0.0
35018,2,2,0,188,0.0,0.0
34043,2,2,0,189,0.0,0.0
33835,2,2,0,190,0.0,0.0
34813,2,2,0,191,0.0,0.0
