sample_idx,real,closest,TP,FP,precision,recall
776,7,0,1,0,1.0,0.006578947368421052
659,7,1,2,0,1.0,0.013157894736842105
725,7,1,3,0,1.0,0.019736842105263157
756,7,1,4,0,1.0,0.02631578947368421
767,7,1,5,0,1.0,0.03289473684210526
772,7,1,6,0,1.0,0.039473684210526314
681,7,1,7,0,1.0,0.046052631578947366
737,7,1,8,0,1.0,0.05263157894736842
742,7,4,9,0,1.0,0.05921052631578947
748,7,4,10,0,1.0,0.06578947368421052
749,7,4,11,0,1.0,0.07236842105263158
731,7,4,12,0,1.0,0.07894736842105263
636,7,4,13,0,1.0,0.08552631578947369
653,7,4,14,0,1.0,0.09210526315789473
672,7,4,15,0,1.0,0.09868421052631579
675,7,4,16,0,1.0,0.10526315789473684
705,7,4,17,0,1.0,0.1118421052631579
763,7,1,18,0,1.0,0.11842105263157894
780,7,1,19,0,1.0,0.125
740,7,1,20,0,1.0,0.13157894736842105
656,7,4,21,0,1.0,0.13815789473684212
674,7,4,22,0,1.0,0.14473684210526316
677,7,4,23,0,1.0,0.1513157894736842
770,7,0,24,0,1.0,0.15789473684210525
643,7,0,25,0,1.0,0.16447368421052633
646,7,0,26,0,1.0,0.17105263157894737
657,7,0,27,0,1.0,0.17763157894736842
668,7,0,28,0,1.0,0.18421052631578946
684,7,0,29,0,1.0,0.19078947368421054
690,7,0,30,0,1.0,0.19736842105263158
706,7,0,31,0,1.0,0.20394736842105263
781,7,1,32,0,1.0,0.21052631578947367
633,7,1,33,0,1.0,0.21710526315789475
645,7,1,34,0,1.0,0.2236842105263158
652,7,1,35,0,1.0,0.23026315789473684
664,7,1,36,0,1.0,0.23684210526315788
669,7,1,37,0,1.0,0.24342105263157895
685,7,1,38,0,1.0,0.25
686,7,1,39,0,1.0,0.2565789473684211
687,7,1,40,0,1.0,0.2631578947368421
694,7,1,41,0,1.0,0.26973684210526316
707,7,1,42,0,1.0,0.27631578947368424
722,7,1,43,0,1.0,0.28289473684210525
729,7,1,44,0,1.0,0.2894736842105263
755,7,1,45,0,1.0,0.29605263157894735
688,7,4,46,0,1.0,0.3026315789473684
692,7,4,47,0,1.0,0.3092105263157895
709,7,4,48,0,1.0,0.3157894736842105
720,7,4,49,0,1.0,0.3223684210526316
745,7,4,50,0,1.0,0.32894736842105265
761,7,4,51,0,1.0,0.3355263157894737
765,7,4,52,0,1.0,0.34210526315789475
670,7,1,53,0,1.0,0.34868421052631576
642,7,1,54,0,1.0,0.35526315789473684
679,7,1,55,0,1.0,0.3618421052631579
691,7,1,56,0,1.0,0.3684210526315789
754,7,1,57,0,1.0,0.375
